insert_i,recall
456,0.790000
457,0.850000
458,0.970000
459,0.920000
460,0.860000
461,0.900000
462,0.890000
463,0.910000
464,0.920000
465,0.970000
466,0.890000
467,0.950000
468,0.970000
469,0.850000
470,0.920000
471,0.910000
472,0.940000
473,0.910000
474,0.910000
475,0.900000
476,0.910000
477,0.900000
478,0.860000
479,0.970000
480,0.880000
481,0.860000
482,0.920000
483,0.940000
484,0.900000
485,0.930000
486,0.910000
487,0.890000
488,0.950000
489,0.830000
490,0.880000
491,0.940000
492,0.880000
493,0.950000
494,0.880000
495,0.960000
496,0.900000
497,0.920000
498,0.910000
499,0.950000
500,0.920000
501,0.890000
502,0.850000
503,0.940000
504,0.800000
505,0.890000
506,0.900000
507,0.930000
508,0.900000
509,0.970000
510,0.950000
511,0.870000
512,0.970000
513,0.900000
514,0.890000
515,0.930000
516,0.880000
517,0.990000
518,0.880000
519,0.870000
520,0.900000
521,0.970000
522,0.800000
523,0.950000
524,0.850000
525,0.890000
526,0.920000
527,0.920000
528,0.950000
529,0.970000
530,0.950000
531,0.960000
532,0.860000
533,0.880000
534,0.870000
535,0.950000
536,0.900000
537,0.810000
538,0.930000
539,0.960000
540,0.920000
541,0.850000
542,0.880000
543,0.940000
544,0.830000
545,0.910000
546,0.950000
547,0.940000
548,0.970000
549,0.900000
550,0.950000
551,0.970000
552,0.890000
553,0.850000
554,0.850000
555,0.870000
556,0.900000
557,0.920000
558,0.910000
559,0.950000
560,0.930000
561,0.870000
562,0.930000
563,0.910000
564,0.940000
565,0.820000
566,0.900000
567,0.960000
568,0.940000
569,0.940000
570,0.910000
571,0.900000
572,0.970000
573,0.940000
574,0.960000
575,0.840000
576,0.810000
577,0.900000
578,0.830000
579,0.960000
580,0.880000
581,0.970000
582,0.910000
583,0.950000
584,0.950000
585,0.890000
586,0.860000
587,0.970000
588,0.870000
589,0.860000
590,0.930000
591,0.830000
592,0.850000
593,0.910000
594,0.940000
595,0.870000
596,0.930000
597,0.940000
598,0.890000
599,0.960000
600,0.850000
601,0.850000
602,0.850000
603,1.000000
604,0.960000
605,0.970000
606,0.870000
607,0.990000
608,0.840000
609,0.870000
610,0.950000
611,0.960000
612,0.990000
613,0.920000
614,0.960000
615,0.890000
616,0.940000
617,0.940000
618,0.890000
619,0.820000
620,0.920000
621,0.950000
622,0.950000
623,0.900000
624,0.870000
625,0.920000
626,0.920000
627,0.940000
628,0.980000
629,0.900000
630,0.870000
631,0.910000
632,0.920000
633,0.940000
634,0.880000
635,0.920000
636,0.880000
637,0.880000
638,0.900000
639,0.970000
640,0.880000
641,0.960000
642,0.910000
643,0.900000
644,0.830000
645,0.850000
646,0.890000
647,0.890000
648,0.930000
649,0.940000
650,0.960000
651,0.870000
652,0.890000
653,0.960000
654,0.920000
655,0.890000
656,0.950000
657,0.860000
658,0.960000
659,0.860000
660,0.950000
661,0.870000
662,0.950000
663,0.940000
664,0.940000
665,0.840000
666,0.910000
667,0.920000
668,0.920000
669,0.870000
670,0.890000
671,0.840000
672,0.920000
673,0.950000
674,0.950000
675,0.950000
676,0.930000
677,0.970000
678,0.980000
679,0.950000
680,0.960000
681,0.920000
682,0.970000
683,0.940000
684,0.950000
685,0.960000
686,0.920000
687,0.850000
688,0.950000
689,0.960000
690,0.950000
691,0.860000
692,0.940000
693,0.840000
694,0.910000
695,0.940000
696,0.910000
697,0.900000
698,0.890000
699,0.950000
700,0.930000
701,0.880000
702,0.970000
703,0.830000
704,0.930000
705,0.950000
706,0.910000
707,0.930000
708,0.960000
709,0.880000
710,0.950000
711,0.890000
712,0.870000
713,0.920000
714,0.900000
715,0.930000
716,0.940000
717,0.970000
718,0.880000
719,0.880000
720,0.960000
721,0.940000
722,0.880000
723,0.850000
724,0.870000
725,0.840000
726,0.920000
727,0.950000
728,0.920000
729,0.890000
730,0.960000
731,0.820000
732,0.950000
733,0.980000
734,0.920000
735,0.920000
736,0.910000
737,0.940000
738,0.920000
739,0.900000
740,0.900000
741,0.910000
742,0.890000
743,0.920000
744,0.980000
745,0.860000
746,0.920000
747,0.940000
748,0.860000
749,0.850000
750,0.870000
751,0.920000
752,0.930000
753,0.870000
754,0.940000
755,0.940000
756,0.860000
757,0.960000
758,0.870000
759,0.910000
760,0.880000
761,0.870000
762,0.960000
763,0.910000
764,0.930000
765,0.870000
766,0.960000
767,0.970000
768,0.840000
769,0.940000
770,0.870000
771,0.890000
772,0.900000
773,0.980000
774,0.840000
775,0.860000
776,0.940000
777,0.900000
778,0.920000
779,0.900000
780,0.830000
781,0.910000
782,0.910000
783,0.960000
784,0.920000
785,0.910000
786,0.950000
787,0.960000
788,0.900000
789,0.900000
790,0.950000
791,0.820000
792,0.920000
793,0.890000
794,0.910000
795,0.860000
796,0.920000
797,0.950000
798,0.890000
799,0.930000
800,0.860000
801,0.890000
802,0.910000
803,0.920000
804,0.890000
805,0.950000
806,0.880000
807,0.930000
808,0.850000
809,0.930000
810,0.910000
811,0.960000
812,0.940000
813,0.940000
814,0.870000
815,0.930000
816,0.880000
817,0.970000
818,0.980000
819,0.960000
820,0.890000
821,0.930000
822,0.870000
823,0.910000
824,0.850000
825,0.910000
826,0.910000
827,0.890000
828,0.900000
829,0.880000
830,0.920000
831,0.960000
832,0.920000
833,0.920000
834,0.920000
835,0.880000
836,0.930000
837,0.900000
838,0.930000
839,0.860000
840,0.930000
841,0.940000
842,0.940000
843,0.920000
844,0.900000
845,0.860000
846,0.930000
847,0.890000
848,0.910000
849,0.910000
850,0.990000
851,0.920000
852,0.970000
853,0.970000
854,0.860000
855,0.840000
856,0.820000
857,0.880000
858,0.880000
859,0.830000
860,0.910000
861,0.860000
862,0.910000
863,0.840000
864,0.850000
865,0.870000
866,0.860000
867,0.870000
868,0.890000
869,0.920000
870,0.930000
871,0.860000
872,0.840000
873,0.950000
874,0.920000
875,0.850000
876,0.950000
877,0.940000
878,0.880000
879,0.900000
880,0.970000
881,0.960000
882,0.920000
883,0.930000
884,0.900000
885,0.840000
886,0.880000
887,0.960000
888,0.890000
889,0.960000
890,0.950000
891,0.810000
892,0.910000
893,0.900000
894,0.950000
895,0.890000
896,0.960000
897,0.830000
898,0.920000
899,0.950000
900,0.900000
901,0.930000
902,0.840000
903,0.990000
904,0.890000
905,0.970000
906,0.930000
907,0.860000
908,0.970000
909,0.880000
910,0.980000
911,0.940000
912,0.870000
913,0.870000
914,0.910000
915,0.930000
916,0.810000
917,0.880000
918,0.890000
919,0.950000
920,0.820000
921,0.910000
922,0.820000
923,0.930000
924,0.850000
925,0.930000
926,0.960000
927,0.920000
928,1.000000
929,0.890000
930,0.960000
931,0.860000
932,0.930000
933,0.910000
934,0.850000
935,0.880000
936,0.950000
937,0.850000
938,0.840000
939,0.960000
940,0.850000
941,0.850000
942,0.960000
943,0.860000
944,0.900000
945,0.970000
946,0.950000
947,0.840000
948,0.880000
949,0.920000
950,0.930000
951,0.870000
952,0.950000
953,0.930000
954,0.980000
955,0.940000
956,0.920000
957,0.950000
958,0.970000
959,0.930000
960,0.950000
961,0.950000
962,0.940000
963,0.890000
964,0.960000
965,0.890000
966,0.950000
967,0.980000
968,0.860000
969,0.970000
970,0.930000
971,0.920000
972,0.890000
973,0.910000
974,0.900000
975,0.940000
976,0.840000
977,0.930000
978,0.930000
979,0.950000
980,0.970000
981,0.970000
982,0.910000
983,0.860000
984,0.890000
985,0.940000
986,0.950000
987,0.970000
988,0.920000
989,0.940000
990,0.920000
991,0.920000
992,0.950000
993,0.920000
994,0.900000
995,0.990000
996,0.910000
997,0.920000
998,0.930000
999,0.910000
1000,0.920000
1001,0.910000
1002,0.950000
1003,0.880000
1004,0.960000
1005,0.900000
1006,0.920000
1007,0.840000
1008,0.960000
1009,0.890000
1010,0.930000
1011,0.930000
1012,0.840000
1013,0.920000
1014,0.950000
1015,0.850000
1016,0.830000
1017,0.870000
1018,0.860000
1019,0.960000
1020,0.890000
1021,0.970000
1022,0.810000
1023,0.940000
1024,0.930000
1025,0.880000
1026,0.900000
1027,0.910000
1028,0.960000
1029,0.930000
1030,0.910000
1031,0.940000
1032,0.890000
1033,0.870000
1034,0.890000
1035,0.930000
1036,0.890000
1037,0.890000
1038,0.790000
1039,0.950000
1040,0.840000
1041,0.910000
1042,0.980000
1043,0.920000
1044,0.970000
1045,0.900000
1046,0.930000
1047,0.930000
1048,0.840000
1049,0.870000
1050,0.830000
1051,0.950000
1052,0.830000
1053,0.930000
1054,0.920000
1055,0.920000
1056,0.940000
1057,0.930000
1058,0.940000
1059,0.930000
1060,0.900000
1061,0.850000
1062,0.900000
1063,0.860000
1064,0.990000
1065,0.970000
